Wisata,Total_Reviews,Avg_Rating,Avg_Review_Length,Min_Rating,Max_Rating,Rating_1,Rating_2,Rating_3,Rating_4,Rating_5,Hari_Biasa,Akhir_Pekan,Hari_Libur_Nasional,Tidak_Diketahui
Museum Angkut,5073,4.59,126.0,1,5,135,126,229,710,3873,487,485,277,3824
Eco Active Park,3780,4.55,130.0,1,5,96,87,145,756,2696,356,351,158,2915
Air Terjun Coban Rais,3409,4.12,59.0,1,5,268,131,378,785,1847,118,171,45,3075
Batu Economis Park,2040,4.33,142.0,1,5,60,57,215,528,1180,216,203,82,1539
Gussari Goa Pinus Batu,1824,4.26,25.0,1,5,77,56,210,451,1030,37,53,12,1722
Jatim Park 1,1794,4.32,177.0,1,5,153,68,53,300,1220,167,186,84,1357
Jatim Park 2,1746,4.4,257.0,1,5,197,1,20,221,1307,294,303,189,960
Pemandian Air Panas Cangar,1676,4.07,187.0,1,5,95,124,181,450,826,0,0,0,1676
Coban Talun,1454,4.52,52.0,1,5,29,22,96,330,977,76,151,42,1185
Taman Selecta,1433,3.78,186.0,1,5,143,146,269,197,678,100,164,83,1086
Batu Night Spectacular,1285,3.33,185.0,1,5,190,202,306,172,415,151,182,89,863
Jatim Park 3,1176,3.25,221.0,1,5,202,204,270,103,397,107,132,77,860
Songgoriti Hot Springs,1046,4.24,116.0,1,5,81,62,76,137,690,162,211,67,606
Alun Alun Kota Wisata Batu,1011,3.85,201.0,1,5,136,131,29,169,546,0,0,0,1011
Milenial Glow Garden,965,4.5,97.0,1,5,25,21,65,187,667,145,192,86,542
Taman Dolan,796,3.7,152.0,1,5,84,65,175,154,318,43,63,21,669
Wisata Petik Apel Mandiri,751,4.73,49.0,1,5,10,8,34,69,630,0,0,0,0
Batu Love Garden (Baloga),647,3.77,186.0,1,5,65,47,152,94,289,92,88,54,413
Tirta Nirwana Hotspring,620,4.33,50.0,1,5,12,23,64,172,349,12,17,7,584
Gunung Arjuno,619,4.55,79.0,1,5,33,9,20,78,479,0,0,0,0
Lumbung Stroberi,549,4.42,77.0,1,5,20,14,47,103,365,27,51,15,456
Taman Pinus Campervan,539,4.63,90.0,1,5,10,5,27,88,409,54,157,33,295
Batu Rafting,390,4.34,26.0,1,5,12,10,49,83,236,0,0,0,390
Gunung Panderman,364,4.59,72.0,1,5,12,4,18,54,276,0,0,0,0
Coban Putri,323,4.61,80.0,1,5,4,3,17,66,233,55,87,15,166
Wisata Desa Agro Bumiaji,142,4.35,21.0,1,5,5,1,21,28,87,0,0,0,142
Paralayang Gunung Banyak,100,4.32,92.0,1,5,11,1,4,13,71,0,0,0,100
Wisata Bunga Sidomulyo,84,4.57,38.0,1,5,3,0,5,14,62,1,2,0,81
Desa Wisata Punten,4,5.0,0.0,5,5,0,0,0,0,4,0,0,0,0
Desa Wisata Tulungrejo,4,5.0,46.0,5,5,0,0,0,0,4,0,0,0,4
